id,ratings
19298,5
19299,5
19301,5
19302,5
19303,5
19304,1
19305,4
19306,5
19307,5
19308,4
19309,5
19310,4
19311,3
19312,5
19313,1
19314,5
19315,4
19316,5
19317,5
19318,4
19319,3
19320,4
19321,5
19322,5
19323,4
19324,5
19325,1
19326,5
19327,3
19328,3
19329,5
19330,3
19331,4
19332,4
19333,1
19334,5
19335,3
19336,5
19337,5
19338,4
19339,4
19340,5
19341,5
19342,5
19343,4
19344,4
19345,1
19346,5
19347,5
19348,4
19349,4
19350,5
19351,5
19352,2
19353,5
19354,4
19355,5
19356,2
19357,3
19358,5
19360,5
19361,4
19362,3
19363,5
19364,5
19365,2
19366,5
19367,5
19368,4
19370,5
19371,3
19372,4
19373,3
19374,4
19375,3
19376,5
19377,5
19378,5
19379,5
19380,3
19381,3
19382,5
19385,2
19386,5
19387,3
19388,5
19390,4
19391,5
19392,5
19393,5
19394,3
19395,5
19396,4
19398,4
19399,4
19401,4
19402,2
19403,4
19404,e
19405,2
19406,4
19407,5
19408,3
19409,5
19410,5
19411,4
19412,4
19413,2
19414,5
19417,5
19418,5
19419,5
19420,5
19421,3
19422,1
19423,1
19424,3
19425,5
19426,2
19427,5
19428,5
19429,5
19430,5
19431,4
19432,1
19433,5
19434,3
19435,5
19436,2
19437,4
19438,5
19439,4
19440,3
19441,3
19442,1
19443,4
19444,5
19445,4
19446,5
19447,5
19448,5
19449,5
19450,5
19451,5
19452,5
19453,5
19454,3
19455,5
19456,3
19457,5
19458,5
19459,5
19460,3
19461,5
19462,5
19464,5
19465,3
19466,4
19467,5
19468,5
19469,2
19470,1
19471,4
19472,1
19473,5
19474,4
19475,4
19476,5
19478,4
19479,1
19480,4
19481,5
19482,5
19483,5
19484,5
19485,5
19486,4
19488,4
19489,2
19490,5
19491,1
19492,5
19493,5
19494,1
19495,1
19496,3
19497,4
19498,5
19499,5
19500,4
19501,5
19503,5
19504,4
19505,5
19506,5
19507,4
19508,5
19509,3
19510,5
19511,5
19512,5
19513,5
19514,4
19515,4
19516,4
19517,3
19518,5
19519,5
19520,5
19521,5
19522,2
19523,5
19524,3
19525,3
19526,5
19527,3
19528,5
19529,5
19530,5
19532,5
19533,3
19534,5
19535,5
19536,5
19537,5
19538,3
19539,3
19540,3
19541,5
19542,5
19543,3
19544,3
19546,5
19547,4
19548,1
19549,5
19550,4
19551,5
19552,4
19554,5
19555,5
19556,2
19557,5
19559,3
19560,3
19561,1
19562,4
19563,4
19564,5
19565,5
19566,3
19567,3
19568,5
19569,5
19570,3
19572,4
19573,3
19574,e
19576,4
19577,5
19578,5
19579,4
19580,5
19581,4
19582,3
19583,5
19584,3
19585,5
19586,4
19587,1
19588,5
19589,5
19590,4
19591,1
19592,2
19593,5
19594,1
19595,4
19596,3
19597,3
19598,4
19599,4
19600,5
19601,2
19602,3
19603,4
19604,5
19605,4
19606,5
19607,5
19608,4
19609,4
19610,3
19611,5
19612,1
19613,5
19614,3
19615,5
19618,4
19619,5
19620,4
19621,4
19622,5
19623,3
19624,4
19625,3
19626,5
19627,4
19628,5
19629,4
19630,5
19631,5
19632,5
19633,4
19635,4
19636,5
19637,3
19638,5
19639,2
19640,5
19641,1
19642,1
19643,3
19644,5
19645,3
19646,4
19647,3
19648,5
19649,5
19650,5
19651,5
19652,3
19653,5
19654,4
19655,5
19656,5
19657,5
19658,3
19659,5
19660,1
19661,4
19662,5
19663,4
19664,4
19665,4
19666,5
19667,5
19668,5
19669,5
19670,1
19671,5
19672,5
19673,5
19674,5
19675,5
19676,4
19677,4
19678,4
19679,5
19680,4
19681,4
19682,5
19683,5
19684,5
19685,4
19686,5
19687,5
19688,4
19689,4
19690,3
19691,5
19692,3
19696,5
19697,5
19699,5
19700,4
19701,4
19702,5
19703,4
19704,5
19705,4
19706,2
19707,5
19708,1
19709,4
19710,5
19711,5
19712,4
19713,4
19714,4
19715,e
19716,3
19717,2
19718,5
19719,5
19720,5
19721,4
19722,4
19723,5
19724,3
19725,3
19726,5
19727,4
19728,4
19729,3
19730,4
19731,3
19732,1
19733,5
19734,3
19735,u
19736,4
19737,1
19738,2
19739,5
19740,3
19741,4
19742,2
19743,5
19744,4
19745,3
19746,4
19747,5
19748,5
19749,1
19750,5
19751,4
19752,4
19753,1
19754,5
19755,3
19756,5
19757,5
19758,5
19759,5
19760,5
19761,5
19762,5
19763,5
19764,5
19765,3
19766,1
19767,5
19768,3
19769,4
19770,5
19771,4
19772,4
19773,5
19774,5
19775,4
19776,3
19777,4
19778,4
19779,5
19780,5
19781,4
19782,5
19783,5
19784,5
19785,5
19786,4
19787,5
19788,4
19789,3
19790,5
19791,5
19792,3
19793,1
19794,4
19795,5
19800,3
19801,4
19802,1
19803,5
19804,5
19805,1
19806,1
19807,2
19808,4
19809,5
19810,4
19812,3
19813,5
19814,4
19815,1
19816,3
19817,5
19818,4
19819,5
19820,3
19821,3
19822,1
19823,1
19824,3
19825,1
19826,5
19827,4
19828,1
19829,4
19830,2
19831,5
19832,4
19833,2
19834,4
19835,5
19836,4
19837,4
19838,5
19839,5
19840,5
19841,4
19842,4
19843,1
19844,5
19845,1
19846,3
19847,4
19848,1
19849,5
19850,3
19851,4
19852,1
19853,5
19855,4
19856,3
19857,1
19859,4
19860,3
19861,4
19862,5
19863,5
